INPUT,á,b,í,a,,
    IF cons(x) THEN,⊥,T,⊥,⊥,,
      IF son(x) THEN,,⊥,,,,
        IF lateral(x) THEN,,,,,,
          IF poa(x) == poa(s(x)) THEN ⊥,,,,,,
          ELSE T,,,,,,
        ELSE cont(x),,,,,,
      ELSE IF voice(x) THEN,,T,,,,
        IF cons(p(x)) THEN ⊥,,⊥,,,,
        ELSE T,,T,,,,
        ELSE cont(x),,,,,,
    ELSE T,T,,T,T,,
OUTPUT [continuant],T,T,T,T,,
,,,,,,
INPUT,k,ó,n,d,o,ɾ
    IF cons(x) THEN,T,⊥,T,T,⊥,T
      IF son(x) THEN,⊥,,T,⊥,,T
        IF lateral(x) THEN,,,⊥,,,⊥
          IF poa(x) == poa(s(x)) THEN ⊥,,,,,,
          ELSE T,,,,,,
        ELSE cont(x),,,T,,,T
      ELSE IF voice(x) THEN,⊥,,,T,,
        IF cons(p(x)) THEN ⊥,,,,T,,
        ELSE T,,,,,,
        ELSE cont(x),T,,,,,
    ELSE T,,T,,,T,
OUTPUT [continuant],⊥,T,⊥,⊥,T,T
,,,,,,
INPUT,k,á,l,d,o,
    IF cons(x) THEN,T,⊥,T,T,⊥,
      IF son(x) THEN,⊥,,T,⊥,,
        IF lateral(x) THEN,,,T,,,
          IF poa(x) == poa(s(x)) THEN ⊥,,,T,,,
          ELSE T,,,,,,
        ELSE cont(x),,,,,,
      ELSE IF voice(x) THEN,⊥,,,T,,
        IF cons(p(x)) THEN ⊥,,,,T,,
        ELSE T,,,,,,
        ELSE cont(x),T,,,,,
    ELSE T,,T,,,T,
OUTPUT [continuant],⊥,T,⊥,⊥,T,
,,,,,,
INPUT,s,á,l,g,o,
    IF cons(x) THEN,T,⊥,T,T,⊥,
      IF son(x) THEN,⊥,,T,⊥,,
        IF lateral(x) THEN,,,T,,,
          IF poa(x) == poa(s(x)) THEN ⊥,,,⊥,,,
          ELSE T,,,T,,,
        ELSE cont(x),,,,,,
      ELSE IF voice(x) THEN,⊥,,,T,,
        IF cons(p(x)) THEN ⊥,,,,,,
        ELSE T,,,,,,
        ELSE cont(x),T,,,,,
    ELSE T,,T,,,T,
OUTPUT [continuant],T,T,T,⊥,T,
